Title,Address,Price($),Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url,rentcast_id,last_seen_date,status
"Standard - , ,  ",", ,  ",3195,2018-03-21T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"158-E-100th-St,-Apt-3RR,-New-York,-NY-10029",2025-11-06T04:17:55.720Z,Active
"Standard - , ,  ",", ,  ",3375,2020-09-21T00:00:00.000Z,Single Family,2,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"461-W-49th-St,-Apt-1B,-New-York,-NY-10019",2025-11-06T04:17:55.715Z,Active
"Standard - , ,  ",", ,  ",3360,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,322,No,No,None,No,,,,0,,"439-W-48th-St,-Unit-1FW1,-New-York,-NY-10036",2025-11-06T04:17:55.713Z,Active
"Standard - , ,  ",", ,  ",2095,2020-09-02T00:00:00.000Z,Single Family,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"445-W-49th-St,-Apt-5B,-New-York,-NY-10019",2025-11-06T04:17:55.712Z,Active
"Standard - , ,  ",", ,  ",3530,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,365,No,No,None,No,,,,0,,"20-Ave-A,-Unit-2L2,-New-York,-NY-10009",2025-11-06T04:17:55.709Z,Active
"Standard - , ,  ",", ,  ",3895,2020-08-19T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"229-Chrystie-St,-Ph-19,-New-York,-NY-10002",2025-11-06T04:17:55.708Z,Active
"Standard - , ,  ",", ,  ",3495,2020-07-20T00:00:00.000Z,Apartment,2,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"111-Worth-St,-Apt-4X,-New-York,-NY-10013",2025-11-06T04:17:55.707Z,Active
"Standard - , ,  ",", ,  ",3410,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,373,No,No,None,No,,,,0,,"715-E-5th-St,-Unit-1D1,-New-York,-NY-10009",2025-11-06T04:17:55.703Z,Active
"Standard - , ,  ",", ,  ",3495,2020-08-12T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,760,No,No,None,No,,,,0,,"404-E-76th-St,-Apt-4E,-New-York,-NY-10021",2025-11-06T04:17:55.699Z,Active
"Standard - , ,  ",", ,  ",3580,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,349,No,No,None,No,,,,0,,"826-9th-Ave,-Unit-3RS3,-New-York,-NY-10019",2025-11-06T04:17:55.699Z,Active
"New Construction - , ,  ",", ,  ",2850,2020-07-14T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,545,No,No,None,No,,,,0,,"333-W-19th-St,-Apt-1E,-New-York,-NY-10011",2025-11-06T04:17:55.698Z,Active
"Standard - , ,  ",", ,  ",3130,2022-05-24T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,255,No,No,None,No,,,,0,,"534-E-14th-St,-Unit-12-12,-New-York,-NY-10009",2025-11-06T04:17:55.698Z,Active
"New Construction - , ,  ",", ,  ",2795,2020-07-13T00:00:00.000Z,Condo,1,1,Not Specified,Not Specified,No,,,No,726,No,No,None,No,,,,0,,"58-W-129th-St,-Unit-A2,-New-York,-NY-10027",2025-11-06T04:17:55.697Z,Active
"Standard - , ,  ",", ,  ",2800,2020-07-16T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"111-Worth-St,-Apt-8K,-New-York,-NY-10013",2025-11-06T04:17:55.697Z,Active
"Standard - , ,  ",", ,  ",7500,2020-10-29T00:00:00.000Z,Condo,2,2,Not Specified,Not Specified,No,,,No,1112,No,No,None,No,,,,0,,"1635-Lexington-Ave,-Apt-6D,-New-York,-NY-10029",2025-11-06T04:17:55.696Z,Active
"Standard - , ,  ",", ,  ",10500,2021-09-24T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,1258,No,No,None,No,,,,0,,"50-West-St,-Apt-52D,-New-York,-NY-10006",2025-11-06T04:17:55.695Z,Active
"Standard - , ,  ",", ,  ",3310,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,321,No,No,None,No,,,,0,,"531-W-48th-St,-Unit-3-3,-New-York,-NY-10036",2025-11-06T04:17:55.695Z,Active
"Standard - , ,  ",", ,  ",2246,2020-09-21T00:00:00.000Z,Single Family,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"461-W-49th-St,-Apt-1A,-New-York,-NY-10019",2025-11-06T04:17:55.694Z,Active
"Standard - , ,  ",", ,  ",2300,2021-04-30T00:00:00.000Z,Apartment,0,,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"428-W-46th-St,-Unit-3,-New-York,-NY-10036",2025-11-06T04:17:55.694Z,Active
"Standard - , ,  ",", ,  ",3500,2020-12-29T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,700,No,No,None,No,,,,0,,"200-E-94th-St,-Apt-408,-New-York,-NY-10128",2025-11-06T04:17:55.693Z,Active
"Standard - , ,  ",", ,  ",13500,2021-04-02T00:00:00.000Z,Apartment,0,3.5,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"400-E-66th-St,-New-York,-NY-10065",2025-11-06T04:17:55.693Z,Active
"Standard - , ,  ",", ,  ",4160,2021-04-12T00:00:00.000Z,Single Family,3,2,Not Specified,Not Specified,No,,,No,1800,No,No,None,No,,,,0,,"36-W-126th-St,-Apt-1,-New-York,-NY-10027",2025-11-06T04:17:55.692Z,Active
"Standard - , ,  ",", ,  ",3050,2022-04-01T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,600,No,No,None,No,,,,0,,"60-W-57th-St,-Apt-3K,-New-York,-NY-10019",2025-11-06T04:17:55.690Z,Active
"Standard - , ,  ",", ,  ",5795,2022-03-25T00:00:00.000Z,Apartment,1,1.5,Not Specified,Not Specified,No,,,No,856,No,No,None,No,,,,0,,"235-E-55th-St,-Apt-45B,-New-York,-NY-10022",2025-11-06T04:17:55.685Z,Active
"Standard - , ,  ",", ,  ",2280,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,659,No,No,None,No,,,,0,,"609-W-151st-St,-Unit-46-46,-New-York,-NY-10031",2025-11-06T04:17:55.682Z,Active
"Standard - , ,  ",", ,  ",3095,2022-03-29T00:00:00.000Z,Condo,1,1,Not Specified,Not Specified,No,,,No,600,No,No,None,No,,,,0,,"158-E-100th-St,-Apt-2R,-New-York,-NY-10029",2025-11-06T04:17:55.681Z,Active
"Standard - , ,  ",", ,  ",3330,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,326,No,No,None,No,,,,0,,"439-W-48th-St,-Unit-1FE-A,-New-York,-NY-10036",2025-11-06T04:17:55.681Z,Active
"Standard - , ,  ",", ,  ",14500,2022-04-24T00:00:00.000Z,Apartment,2,2.5,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"21-W-12th-St,-Apt-1B,-New-York,-NY-10011",2025-11-06T04:17:55.680Z,Active
"Standard - , ,  ",", ,  ",3130,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,409,No,No,None,No,,,,0,,"126-Lexington-Ave,-Unit-5F5,-New-York,-NY-10016",2025-11-06T04:17:55.680Z,Active
"Standard - , ,  ",", ,  ",3110,2022-05-24T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,368,No,No,None,No,,,,0,,"418-W-49th-St,-Unit-2D2,-New-York,-NY-10019",2025-11-06T04:17:55.679Z,Active
"Standard - , ,  ",", ,  ",2830,2022-05-24T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,164,No,No,None,No,,,,0,,"473-Central-Park-W,-Unit-1B1,-New-York,-NY-10025",2025-11-06T04:17:55.678Z,Active
"Standard - , ,  ",", ,  ",2960,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,340,No,No,None,No,,,,0,,"20-Ave-A,-Unit-3I3,-New-York,-NY-10009",2025-11-06T04:17:55.677Z,Active
"Standard - , ,  ",", ,  ",3350,2022-05-23T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,350,No,No,None,No,,,,0,,"240-E-23rd-St,-Apt-4A,-New-York,-NY-10010",2025-11-06T04:17:55.676Z,Active
"Standard - , ,  ",", ,  ",3460,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,431,No,No,None,No,,,,0,,"336-W-46th-St,-Unit-3R3,-New-York,-NY-10036",2025-11-06T04:17:55.675Z,Active
"Standard - , ,  ",", ,  ",2630,2022-05-24T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,256,No,No,None,No,,,,0,,"471-Central-Park-W,-Unit-5F5,-New-York,-NY-10025",2025-11-06T04:17:55.674Z,Active
"Standard - , ,  ",", ,  ",3375,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,448,No,No,None,No,,,,0,,"824-9th-Ave,-Unit-6RN6,-New-York,-NY-10019",2025-11-06T04:17:55.674Z,Active
"Standard - , ,  ",", ,  ",3075,2022-05-24T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,415,No,No,None,No,,,,0,,"41-W-46th-St,-Unit-5A5,-New-York,-NY-10036",2025-11-06T04:17:55.673Z,Active
"Standard - , ,  ",", ,  ",2610,2022-05-24T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,384,No,No,None,No,,,,0,,"1626-Second-Ave,-Unit-1S1,-New-York,-NY-10028",2025-11-06T04:17:55.672Z,Active
